Stat Block Name,Init,Dex,HP,Vulnerabilities,Resistances,Immunities,Per-Round Healing,Spell Slots (;-delimited),Recharge (;-delimited),Other Actions,Other Passives,Legendary
Ancient Brass Dragon,0,10,297,,,fire,0,,5;6,,Check stat block for passives!,3;3
Vampire,4,18,144,,necrotic,,20,,,,Check stat block for passives!,3;3
Skeleton,2,14,13,bludgeoning,,poison,0,,,,Check stat block for passives!,0;0
Mage,2,14,40,,,,0,4;3;3;3;1,,,Check stat block for passives!,0;0Awakened Shrub,-1,8,10,fire,piercing,,0,,,,Check stat block for passives!,0;0
Baboon,2,14,3,,,,0,,,,Check stat block for passives!,0;0
Badger,0,11,3,,,,0,,,,Check stat block for passives!,0;0
Bat,2,15,1,,,,0,,,,Check stat block for passives!,0;0
Cat,2,15,2,,,,0,,,,Check stat block for passives!,0;0
Commoner,0,10,4,,,,0,,,,Check stat block for passives!,0;0
Crab,0,11,2,,,,0,,,,Check stat block for passives!,0;0
Deer,3,16,4,,,,0,,,,Check stat block for passives!,0;0
Eagle,2,15,3,,,,0,,,,Check stat block for passives!,0;0
Frog,1,13,1,,,,0,,,,Check stat block for passives!,0;0
Giant Fire Beetle,0,10,4,,,,0,,,,Check stat block for passives!,0;0
Goat,0,10,4,,,,0,,,,Check stat block for passives!,0;0
Hawk,3,16,1,,,,0,,,,Check stat block for passives!,0;0
Homunculus,2,15,5,,,poison,0,,,,Check stat block for passives!,0;0
Hyena,1,13,5,,,,0,,,,Check stat block for passives!,0;0
Jackal,2,15,3,,,,0,,,,Check stat block for passives!,0;0
Lemure,-3,5,13,,cold,fire;poison,0,,,,Check stat block for passives!,0;0
Lizard,0,11,2,,,,0,,,,Check stat block for passives!,0;0
Octopus,2,15,3,,,,0,,,,Check stat block for passives!,0;0
Owl,1,13,1,,,,0,,,,Check stat block for passives!,0;0
Quipper,3,16,1,,,,0,,,,Check stat block for passives!,0;0
Rat,0,11,1,,,,0,,,,Check stat block for passives!,0;0
Raven,2,14,1,,,,0,,,,Check stat block for passives!,0;0
Scorpion,0,11,1,,,,0,,,,Check stat block for passives!,0;0
Sea Horse,1,12,1,,,,0,,,,Check stat block for passives!,0;0
Shrieker,-5,1,13,,,,0,,,,Check stat block for passives!,0;0
Spider,2,14,1,,,,0,,,,Check stat block for passives!,0;0
Vulture,0,10,5,,,,0,,,,Check stat block for passives!,0;0
Weasel,3,16,1,,,,0,,,,Check stat block for passives!,0;0
Bandit,1,12,11,,,,0,,,,Check stat block for passives!,0;0
Blood Hawk,2,14,7,,,,0,,,,Check stat block for passives!,0;0
Camel,-1,8,15,,,,0,,,,Check stat block for passives!,0;0
Cultist,1,12,9,,,,0,,,,Check stat block for passives!,0;0
Flying Snake,4,18,5,,,,0,,,,Check stat block for passives!,0;0
Giant Crab,2,15,13,,,,0,,,,Check stat block for passives!,0;0
Giant Rat,2,15,7,,,,0,,,,Check stat block for passives!,0;0
Giant Weasel,3,16,9,,,,0,,,,Check stat block for passives!,0;0
Guard,1,12,11,,,,0,,,,Check stat block for passives!,0;0
Kobold,2,15,5,,,,0,,,,Check stat block for passives!,0;0
Mastiff,2,14,5,,,,0,,,,Check stat block for passives!,0;0
Merfolk,1,13,11,,,,0,,,,Check stat block for passives!,0;0
Mule,0,10,11,,,,0,,,,Check stat block for passives!,0;0
Noble,1,12,9,,,,0,,,,Check stat block for passives!,0;0
Poisonous Snake,3,16,2,,,,0,,,,Check stat block for passives!,0;0
Pony,0,10,11,,,,0,,,,Check stat block for passives!,0;0
Stirge,3,16,2,,,,0,,,,Check stat block for passives!,0;0
Tribal Warrior,0,11,11,,,,0,,,,Check stat block for passives!,0;0
Acolyte,0,10,9,,,,0,3,,,Check stat block for passives!,0;0
Axe Beak,1,12,19,,,,0,,,,Check stat block for passives!,0;0
Blink Dog,3,17,22,,,,0,,4;5;6,,Check stat block for passives!,0;0
Boar,0,11,11,,,,0,,,,Check stat block for passives!,0;0
